Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1523757414,2018-04-15T01:56:54Z,CCA1350,"34.505768,113.939827",1325,157,292
1523757405,2018-04-15T01:56:45Z,CCA1350,"34.503845,113.945488",1400,163,292
1523757399,2018-04-15T01:56:39Z,CCA1350,"34.501877,113.951202",1500,165,292
1523757392,2018-04-15T01:56:32Z,CCA1350,"34.499771,113.957291",1625,174,292
1523757384,2018-04-15T01:56:24Z,CCA1350,"34.497677,113.963409",1725,181,292
1523757374,2018-04-15T01:56:14Z,CCA1350,"34.494049,113.974129",1925,190,292
1523757366,2018-04-15T01:56:06Z,CCA1350,"34.491852,113.980461",2025,193,292
1523757357,2018-04-15T01:55:57Z,CCA1350,"34.488644,113.989624",2175,193,293
1523757346,2018-04-15T01:55:46Z,CCA1350,"34.484528,114.001312",2375,194,293
1523757340,2018-04-15T01:55:40Z,CCA1350,"34.482452,114.007072",2475,195,293
1523757331,2018-04-15T01:55:31Z,CCA1350,"34.479034,114.016502",2650,195,293
1523757324,2018-04-15T01:55:24Z,CCA1350,"34.476929,114.022507",2725,194,294
1523757317,2018-04-15T01:55:17Z,CCA1350,"34.473282,114.031219",2725,192,310
1523757307,2018-04-15T01:55:07Z,CCA1350,"34.467636,114.038254",2725,191,322
1523757301,2018-04-15T01:55:01Z,CCA1350,"34.463425,114.042122",2725,191,322
1523757295,2018-04-15T01:54:55Z,CCA1350,"34.458385,114.046783",2725,189,322
1523757289,2018-04-15T01:54:49Z,CCA1350,"34.455048,114.049858",2725,189,322
1523757278,2018-04-15T01:54:38Z,CCA1350,"34.446808,114.05748",2750,188,322
1523757272,2018-04-15T01:54:32Z,CCA1350,"34.442513,114.061493",2775,192,322
1523757261,2018-04-15T01:54:21Z,CCA1350,"34.436089,114.067322",2900,196,324
1523757254,2018-04-15T01:54:14Z,CCA1350,"34.429291,114.073166",3100,195,329
1523757230,2018-04-15T01:53:50Z,CCA1350,"34.411274,114.078827",3625,197,16
1523757224,2018-04-15T01:53:44Z,CCA1350,"34.406109,114.076935",3775,195,24
1523757218,2018-04-15T01:53:38Z,CCA1350,"34.399979,114.07357",3950,194,24
1523757212,2018-04-15T01:53:32Z,CCA1350,"34.393707,114.070091",4150,193,24
1523757206,2018-04-15T01:53:26Z,CCA1350,"34.391026,114.068642",4225,193,24
1523757200,2018-04-15T01:53:20Z,CCA1350,"34.383297,114.064407",4450,192,24
1523757190,2018-04-15T01:53:10Z,CCA1350,"34.376907,114.060791",4650,191,27
1523757184,2018-04-15T01:53:04Z,CCA1350,"34.372078,114.057655",4800,193,34
1523757177,2018-04-15T01:52:57Z,CCA1350,"34.367935,114.054115",4925,197,48
1523757157,2018-04-15T01:52:37Z,CCA1350,"34.360428,114.032478",5200,214,96
1523757144,2018-04-15T01:52:24Z,CCA1350,"34.362991,114.017906",5350,220,105
1523757133,2018-04-15T01:52:13Z,CCA1350,"34.366352,114.003868",5475,227,105
1523757120,2018-04-15T01:52:00Z,CCA1350,"34.369797,113.989105",5650,234,105
1523757112,2018-04-15T01:51:52Z,CCA1350,"34.372787,113.976204",5775,239,105
1523757098,2018-04-15T01:51:38Z,CCA1350,"34.376175,113.961754",5950,244,105
1523757090,2018-04-15T01:51:30Z,CCA1350,"34.379059,113.949623",6050,249,106
1523757081,2018-04-15T01:51:21Z,CCA1350,"34.381989,113.937584",6150,255,107
1523757072,2018-04-15T01:51:12Z,CCA1350,"34.385391,113.925308",6250,262,114
1523757064,2018-04-15T01:51:04Z,CCA1350,"34.390594,113.913704",6400,267,131
1523757058,2018-04-15T01:50:58Z,CCA1350,"34.395493,113.906998",6500,271,140
1523757052,2018-04-15T01:50:52Z,CCA1350,"34.3988,113.903564",6575,273,146
1523757046,2018-04-15T01:50:46Z,CCA1350,"34.408623,113.896866",6750,276,162
1523757038,2018-04-15T01:50:38Z,CCA1350,"34.415417,113.89418",6900,277,172
1523757026,2018-04-15T01:50:26Z,CCA1350,"34.431198,113.891998",7325,280,174
1523757015,2018-04-15T01:50:15Z,CCA1350,"34.446487,113.890221",7700,284,173
1523757003,2018-04-15T01:50:03Z,CCA1350,"34.462509,113.887978",8050,289,172
1523756990,2018-04-15T01:49:50Z,CCA1350,"34.480125,113.885361",8350,295,173
1523756978,2018-04-15T01:49:38Z,CCA1350,"34.495331,113.883209",8550,296,173
1523756967,2018-04-15T01:49:27Z,CCA1350,"34.511673,113.880974",8625,298,173
1523756954,2018-04-15T01:49:14Z,CCA1350,"34.528446,113.87867",8625,296,173
1523756942,2018-04-15T01:49:02Z,CCA1350,"34.545856,113.876434",8675,298,174
1523756931,2018-04-15T01:48:51Z,CCA1350,"34.561497,113.874603",8900,297,174
1523756918,2018-04-15T01:48:38Z,CCA1350,"34.577545,113.872734",9300,297,174
1523756905,2018-04-15T01:48:25Z,CCA1350,"34.593945,113.870712",9725,298,173
1523756894,2018-04-15T01:48:14Z,CCA1350,"34.612106,113.868355",10125,300,173
1523756882,2018-04-15T01:48:02Z,CCA1350,"34.627556,113.866425",10550,299,174
1523756871,2018-04-15T01:47:51Z,CCA1350,"34.643784,113.86438",10900,305,174
1523756858,2018-04-15T01:47:38Z,CCA1350,"34.661407,113.862137",11150,313,174
1523756844,2018-04-15T01:47:24Z,CCA1350,"34.683651,113.859268",11325,327,173
1523756834,2018-04-15T01:47:14Z,CCA1350,"34.69725,113.857483",11475,335,173
1523756820,2018-04-15T01:47:00Z,CCA1350,"34.715881,113.855019",11675,343,173
1523756806,2018-04-15T01:46:46Z,CCA1350,"34.740234,113.851875",11850,356,173
1523756780,2018-04-15T01:46:20Z,CCA1350,"34.785461,113.848801",12575,364,189
1523756772,2018-04-15T01:46:12Z,CCA1350,"34.800358,113.853088",13025,360,203
1523756763,2018-04-15T01:46:03Z,CCA1350,"34.813393,113.860641",13475,355,214
1523756755,2018-04-15T01:45:55Z,CCA1350,"34.821533,113.867851",13825,350,222
1523756749,2018-04-15T01:45:49Z,CCA1350,"34.828663,113.876266",14175,344,232
1523756743,2018-04-15T01:45:43Z,CCA1350,"34.834061,113.885025",14450,342,240
1523756699,2018-04-15T01:44:59Z,CCA1350,"34.84272,113.96862",16025,338,274
